fecha_corte,filas,mapeadas,cobertura
2021-03-31,74196,74196,1.0
2021-06-30,75173,75173,1.0
2021-09-30,77493,77493,1.0
2021-12-31,79650,79650,1.0
2022-03-31,84242,84242,1.0
2022-06-30,82130,82130,1.0
2022-09-30,75640,75640,1.0
2022-12-31,79094,79094,1.0
2023-03-31,79170,79170,1.0
2023-06-30,78593,78593,1.0
2023-09-30,79432,79432,1.0
2023-12-31,83367,83367,1.0
2024-03-31,83170,83170,1.0
2024-06-30,84056,84056,1.0
2024-09-30,85752,85752,1.0
2024-12-31,88710,88710,1.0
2025-03-31,81320,81320,1.0
2025-06-30,81095,81095,1.0
2025-09-30,84453,84453,1.0
2025-12-31,84483,84483,1.0
