fuente,dpto_ccdgo,tipo_id,columna,v,ptgf_column,kx2f_column,numero,v_kx2f,tipo_kx2f,rel
ptgf,25,corresponsales_fisicos,correstercerizados,16217.0,correstercerizados,_2_nro_corresponsales_f_sicos,2,16739.0,corresponsales_fisicos,0.03218844422519578
ptgf,27,corresponsales_fisicos,correstercerizados,1458.0,correstercerizados,_2_nro_corresponsales_f_sicos,2,1506.0,corresponsales_fisicos,0.03292181069958848
ptgf,47,corresponsales_fisicos,correstercerizados,4687.0,correstercerizados,_2_nro_corresponsales_f_sicos,2,4850.0,corresponsales_fisicos,0.03477704288457435
ptgf,85,corresponsales_fisicos,correstercerizados,2640.0,correstercerizados,_2_nro_corresponsales_f_sicos,2,2759.0,corresponsales_fisicos,0.045075757575757575
ptgf,95,corresponsales_fisicos,correstercerizados,348.0,correstercerizados,_2_nro_corresponsales_f_sicos,2,352.0,corresponsales_fisicos,0.011494252873563218
ptgf,11,credito_consumo,generonromcdc,9620417.0,generonromcdc,_41_nro_cr_dito_consumo,41,9621656.0,credito_consumo,0.0001287885961699997
ptgf,27,credito_consumo,generonromcdc,2915.0,generonromcdc,_41_nro_cr_dito_consumo,41,2915.0,credito_consumo,0.0
ptgf,54,credito_consumo,generonromcdc,94156.0,generonromcdc,_41_nro_cr_dito_consumo,41,94775.0,credito_consumo,0.006574196015123837
ptgf,88,credito_consumo,generonromcdc,17537.0,generonromcdc,_41_nro_cr_dito_consumo,41,17537.0,credito_consumo,0.0
ptgf,94,credito_consumo,generonromcdc,181.0,generonromcdc,_41_nro_cr_dito_consumo,41,181.0,credito_consumo,0.0
ptgf,95,credito_consumo,generonromcdc,696.0,generonromcdc,_41_nro_cr_dito_consumo,41,696.0,credito_consumo,0.0
ptgf,05,credito_consumo,totalmontocdc,4635226492160.46,totalmontocdc,_46_monto_cr_dito_consumo,46,4599920595562.9795,credito_consumo,0.007616865466486523
ptgf,08,credito_consumo,totalmontocdc,1425173540881.4602,totalmontocdc,_46_monto_cr_dito_consumo,46,1364997549951.5198,credito_consumo,0.042223623442182334
ptgf,17,credito_consumo,totalmontocdc,449096210924.95996,totalmontocdc,_46_monto_cr_dito_consumo,46,454066292544.93,credito_consumo,0.011066852712325576
ptgf,44,credito_consumo,totalmontocdc,139135030426.29,totalmontocdc,_46_monto_cr_dito_consumo,46,139135030426.29,credito_consumo,0.0
ptgf,50,credito_consumo,totalmontocdc,504147546323.69995,totalmontocdc,_46_monto_cr_dito_consumo,46,512411935100.55,credito_consumo,0.016392797777386562
ptgf,66,credito_consumo,totalmontocdc,584681642817.33,totalmontocdc,_46_monto_cr_dito_consumo,46,601226743231.75,credito_consumo,0.028297622505636236
ptgf,76,credito_consumo,totalmontocdc,2868597376217.5796,totalmontocdc,_46_monto_cr_dito_consumo,46,2843676804844.49,credito_consumo,0.008687371598292628
