mpio_ccdgo,nombre_sfc,nombre_dane,coincide,en_dane_o_mgn
05101,BOLIVAR,Ciudad Bolívar,False,True
05107,BRICEÃ`O,Briceño,False,True
05148,CARMEN DE VIBORAL,El Carmen de Viboral,False,True
05237,DON MATIAS,Donmatías,False,True
05585,PUERTO NARE(LAMAGDALENA,Puerto Nare,False,True
05647,SAN ANDRES,San Andrés de Cuerquía,False,True
05664,SAN PEDRO,San Pedro de Los Milagros,False,True
11001,SANTAFE DE BOGOTA D.,"Bogotá, D.C.",False,True
13001,CARTAGENA,Cartagena de Indias,False,True
15332,GUICAN,Güicán de La Sierra,False,True
15693,SANTA ROSA DE VITERB,Santa Rosa de Viterbo,False,True
15839,TUTASA,Tutazá,False,True
18094,BELEN DE LOS ANDAQUI,Belén de Los Andaquíes,False,True
18610,SAN JOSE DE FRAGUA,San José del Fragua,False,True
18753,SAN VICENTE DEL CAGU,San Vicente del Caguán,False,True
19418,LOPEZ,López de Micay,False,True
19532,PATIA(EL BORDO),Patía,False,True
19548,PIENDAMO,Piendamó - Tunía,False,True
19698,SANTANDER DE QUILICH,Santander de Quilichao,False,True
19760,SOTARA,Sotará Paispamba,False,True
20443,MANAURE BALCON DL CE,Manaure Balcón del Cesar,False,True
23586,PURISIMA,Purísima de La Concepción,False,True
23675,SAN BERNARDO DEL VIE,San Bernardo del Viento,False,True
25645,S.ANTONIO TEQUENDAMA,San Antonio del Tequendama,False,True
25662,SAN JUAN DE RIO SECO,San Juan de Rioseco,False,True
25843,(UBATE) VILLA DE SANDIEGO DE UBATE,Villa de San Diego de Ubaté,False,True
27135,EL CANTON DE SAN PABLO,El Cantón del San Pablo,False,True
27361,ITSMINA,Istmina,False,True
47161,CERRO SAN ANTONIO,Cerro de San Antonio,False,True
47170,CHIVOLO,Chibolo,False,True
47692,SAN SEBASTIAN BUENAV,San Sebastián de Buenavista,False,True
50370,LA URIBE,Uribe,False,True
50680,SAN CARLOS GUAROA,San Carlos de Guaroa,False,True
50711,VISTA HERMOSA,Vistahermosa,False,True
52224,CUASPUD,Cuaspud Carlosama,False,True
52835,TUMACO,San Andrés de Tumaco,False,True
54001,CUCUTA,San José de Cúcuta,False,True
66170,DOS QUEBRADAS,Dosquebradas,False,True
68235,EL CARMEN,El Carmen de Chucurí,False,True
70742,SINCE,San Luis de Sincé,False,True
70820,SANTIAGO DE TOLU (TOLU),Santiago de Tolú,False,True
70823,TOLUVIEJO,Tolú Viejo,False,True
76111,GUADALAJARA DE BUGA (BUGA),Guadalajara de Buga,False,True
86573,LEGUIZAMO (PUERTO LEGUIZAMO),Puerto Leguízamo,False,True
91263,EL ENCANTO,El Encanto (ANM),False,True
91405,LA CHORRERA,La Chorrera (ANM),False,True
91407,LA PEDRERA,La Pedrera (ANM),False,True
91430,LA VICTORIA,La Victoria (ANM),False,True
91460,MIRITI-PARANA,Miriti - Paraná (ANM),False,True
91530,PUERTO ALEGRÍA,Puerto Alegría (ANM),False,True
91536,PUERTO ARICA,Puerto Arica (ANM),False,True
91669,PUERTO SANTANDER,Puerto Santander (ANM),False,True
91798,TARAPACA,Tarapacá (ANM),False,True
94343,BARRANCO MINAS,Barrancominas (ANM),False,True
94883,SAN FELIPE,San Felipe (ANM),False,True
94884,PUERTO COLOMBIA,Puerto Colombia (ANM),False,True
94885,LA GUADALUPE,La Guadalupe (ANM),False,True
94886,CACAHUAL,Cacahual (ANM),False,True
94887,PANA PANA,Pana Pana (ANM),False,True
94888,MORICHAL,Morichal (ANM),False,True
95001,SAN JOSE DEL GUAVIAR,San José del Guaviare,False,True
97511,PACOA,Pacoa (ANM),False,True
97777,PAPUNAUA,Papunahua (ANM),False,True
97889,YAVARATE,Yavaraté (ANM),False,True
