mpio_ccdgo,nombre_sfc,nombre_dane,coincide,en_dane_o_mgn
05101,BOLIVAR,Ciudad Bolívar,False,True
05107,BRICEﾃ`O,Briceño,False,True
05107,BRICEÃ`O,Briceño,False,True
05138,CAﾑASGORDAS,Cañasgordas,False,True
05148,CARMEN DE VIBORAL,El Carmen de Viboral,False,True
05237,DON MATIAS,Donmatías,False,True
05541,PEﾑOL,Peñol,False,True
05585,PUERTO NARE(LAMAGDALENA,Puerto Nare,False,True
05647,SAN ANDRES,San Andrés de Cuerquía,False,True
05658,SAN JOSE DE LA MONTAﾑA,San José de La Montaña,False,True
05664,SAN PEDRO,San Pedro de Los Milagros,False,True
11001,SANTAFE DE BOGOTA D.,"Bogotá, D.C.",False,True
13001,CARTAGENA,Cartagena de Indias,False,True
13268,EL PEﾑON,El Peñón,False,True
13490,NOROSﾍ,Norosí,False,True
15332,GUICAN,Güicán de La Sierra,False,True
15693,SANTA ROSA DE VITERB,Santa Rosa de Viterbo,False,True
15839,TUTASA,Tutazá,False,True
18094,BELEN DE LOS ANDAQUI,Belén de Los Andaquíes,False,True
18410,LA MONTAﾑITA,La Montañita,False,True
18610,SAN JOSE DE FRAGUA,San José del Fragua,False,True
18753,SAN VICENTE DEL CAGU,San Vicente del Caguán,False,True
19300,GUACHENﾉ,Guachené,False,True
19418,LOPEZ,López de Micay,False,True
19532,PATIA(EL BORDO),Patía,False,True
19548,PIENDAMO,Piendamó - Tunía,False,True
19698,SANTANDER DE QUILICH,Santander de Quilichao,False,True
19760,SOTARA,Sotará Paispamba,False,True
20443,MANAURE BALCON DL CE,Manaure Balcón del Cesar,False,True
23500,MOﾑITOS,Moñitos,False,True
23586,PURISIMA,Purísima de La Concepción,False,True
23675,SAN BERNARDO DEL VIE,San Bernardo del Viento,False,True
23682,SAN JOSﾉ DE URﾉ,San José de Uré,False,True
25398,LA PEﾑA,La Peña,False,True
25645,S.ANTONIO TEQUENDAMA,San Antonio del Tequendama,False,True
25662,SAN JUAN DE RIO SECO,San Juan de Rioseco,False,True
25843,(UBATE) VILLA DE SANDIEGO DE UBATE,Villa de San Diego de Ubaté,False,True
27135,EL CANTON DE SAN PABLO,El Cantón del San Pablo,False,True
27361,ITSMINA,Istmina,False,True
27430,MEDIO BAUDﾓ,Medio Baudó,False,True
27580,RﾍO IRO,Río Iró,False,True
27600,RﾍO QUITO,Río Quito,False,True
27810,UNIﾓN PANAMERICANA,Unión Panamericana,False,True
44098,DISTRACCIﾓN,Distracción,False,True
47161,CERRO SAN ANTONIO,Cerro de San Antonio,False,True
47170,CHIVOLO,Chibolo,False,True
47258,EL PIﾑON,El Piñón,False,True
47268,EL RETﾉN,El Retén,False,True
47545,PIJIﾑO DEL CARMEN,Pijiño del Carmen,False,True
47692,SAN SEBASTIAN BUENAV,San Sebastián de Buenavista,False,True
47720,SANTA BﾁRBARA DE PINTO,Santa Bárbara de Pinto,False,True
47960,ZAPAYﾁN,Zapayán,False,True
50370,LA URIBE,Uribe,False,True
50680,SAN CARLOS GUAROA,San Carlos de Guaroa,False,True
50711,VISTA HERMOSA,Vistahermosa,False,True
52224,CUASPUD,Cuaspud Carlosama,False,True
52240,CHACHAGﾜﾍ,Chachagüí,False,True
52254,EL PEﾑOL,El Peñol,False,True
52835,TUMACO,San Andrés de Tumaco,False,True
54001,CUCUTA,San José de Cúcuta,False,True
54498,OCAﾑA,Ocaña,False,True
66170,DOS QUEBRADAS,Dosquebradas,False,True
68235,EL CARMEN,El Carmen de Chucurí,False,True
68250,EL PEﾑﾓN,El Peñón,False,True
70221,COVEﾑAS,Coveñas,False,True
70742,SINCE,San Luis de Sincé,False,True
70820,SANTIAGO DE TOLU (TOLU),Santiago de Tolú,False,True
70823,TOLUVIEJO,Tolú Viejo,False,True
73671,SALDAﾑA,Saldaña,False,True
76111,GUADALAJARA DE BUGA (BUGA),Guadalajara de Buga,False,True
86571,PUERTO GUZMﾁN,Puerto Guzmán,False,True
86573,LEGUIZAMO (PUERTO LEGUIZAMO),Puerto Leguízamo,False,True
91263,EL ENCANTO,El Encanto (ANM),False,True
91405,LA CHORRERA,La Chorrera (ANM),False,True
91407,LA PEDRERA,La Pedrera (ANM),False,True
91430,LA VICTORIA,La Victoria (ANM),False,True
91460,MIRITI-PARANA,Miriti - Paraná (ANM),False,True
91530,PUERTO ALEGRﾍA,Puerto Alegría (ANM),False,True
91530,PUERTO ALEGRÍA,Puerto Alegría (ANM),False,True
91669,PUERTO SANTANDER,Puerto Santander (ANM),False,True
91798,TARAPACA,Tarapacá (ANM),False,True
94343,BARRANCO MINAS,Barrancominas (ANM),False,True
94883,SAN FELIPE,San Felipe (ANM),False,True
94884,PUERTO COLOMBIA,Puerto Colombia (ANM),False,True
94886,CACAHUAL,Cacahual (ANM),False,True
95001,SAN JOSE DEL GUAVIAR,San José del Guaviare,False,True
97511,PACOA,Pacoa (ANM),False,True
99624,SANTA ROSALﾍA,Santa Rosalía,False,True
