fuente,tipo_id,columna,n_no_cero,frac_no_cero
kx2f,corresponsales_fisicos,_1_nro_corresponsales_f_sicos,88399,0.188
kx2f,corresponsales_fisicos,_2_nro_corresponsales_f_sicos,425042,0.9039
kx2f,corresponsales_fisicos,_3_nro_corresponsales_f_sicos,354819,0.7546
kx2f,corresponsales_fisicos,_4_nro_corresponsales_f_sicos,444703,0.9457
kx2f,corresponsales_fisicos,_79_nro_corresponsales_f,75046,0.1987
kx2f,corresponsales_fisicos,_80_nro_corresponsales_f,330233,0.9114
kx2f,corresponsales_moviles,_81_nro_corresponsales_propios,887,0.0359
kx2f,corresponsales_moviles,_82_nro_corresponsales,6278,0.2544
kx2f,corresponsales_moviles,_83_nro_corresponsales_m,5123,0.2076
kx2f,corresponsales_moviles,_84_nro_corresponsales_m,7165,0.2904
kx2f,credito_consumo,_41_nro_cr_dito_consumo,100685,0.7771
kx2f,credito_consumo,_42_monto_cr_dito_consumo,100677,0.7771
kx2f,credito_consumo,_43_nro_cr_dito_consumo,104971,0.8102
kx2f,credito_consumo,_44_monto_cr_dito_consumo,104959,0.8101
kx2f,credito_consumo,_45_nro_cr_dito_consumo,110612,0.8538
kx2f,credito_consumo,_46_monto_cr_dito_consumo,110600,0.8537
kx2f,credito_consumo_bajo_monto,_47_nro_cred_cons_bajo_monto,1092,0.0279
kx2f,credito_consumo_bajo_monto,_48_monto_cred_cons_bajo,1092,0.0279
kx2f,credito_consumo_bajo_monto,_49_nro_cred_cons_bajo_monto,1118,0.0285
kx2f,credito_consumo_bajo_monto,_50_monto_cred_cons_bajo,1118,0.0285
kx2f,credito_consumo_bajo_monto,_51_nro_cred_cons_bajo_monto,1281,0.0327
kx2f,credito_consumo_bajo_monto,_52_monto_cred_cons_bajo,1281,0.0327
kx2f,credito_vivienda,_53_nro_cr_dito_vivienda,25919,0.542
kx2f,credito_vivienda,_54_monto_cr_dito_vivienda,25774,0.5389
kx2f,credito_vivienda,_55_nro_cr_dito_vivienda,26172,0.5473
kx2f,credito_vivienda,_56_monto_cr_dito_vivienda,26043,0.5446
kx2f,credito_vivienda,_57_nro_cr_dito_vivienda,29606,0.6191
kx2f,credito_vivienda,_58_monto_cr_dito_vivienda,29519,0.6172
kx2f,cuentas_ahorro,_19_nro_ctas_ahorro_hasta,105868,0.8556
kx2f,cuentas_ahorro,_20_saldo_ctas_ahorro_hasta,104158,0.8418
kx2f,cuentas_ahorro,_21_nro_ctas_ahorro_1smmlv,87728,0.709
kx2f,cuentas_ahorro,_22_saldo_ctas_ahorro_1smmlv,87728,0.709
kx2f,cuentas_ahorro,_23_nro_ctas_ahorr_3smmlv,79965,0.6463
kx2f,cuentas_ahorro,_24_saldo_ctas_ahorr_3smmlv,79965,0.6463
kx2f,cuentas_ahorro,_25_nro_ctas_ahorro_activas,104962,0.8483
kx2f,cuentas_ahorro,_26_saldo_ctas_ahorro_activas,102898,0.8316
kx2f,cuentas_ahorro,_27_nro_ctas_ahorro_mujeres,103106,0.8333
kx2f,cuentas_ahorro,_28_saldo_ctas_ahorro_mujeres,100259,0.8103
kx2f,cuentas_ahorro,_29_nro_ctas_ahorro_hombres,104175,0.8419
kx2f,cuentas_ahorro,_30_saldo_ctas_ahorro_hombres,102216,0.8261
kx2f,cuentas_ahorro,_31_nro_ctas_ahorro,106999,0.8647
kx2f,cuentas_ahorro,_32_saldo_ctas_ahorro,105157,0.8499
kx2f,microcredito,_71_nro_microcr_dito_mujeres,49105,0.7314
kx2f,microcredito,_72_monto_microcr_dito_mujeres,49105,0.7314
kx2f,microcredito,_73_nro_microcr_dito_hombres,49354,0.7351
kx2f,microcredito,_74_monto_microcr_dito_hombres,49354,0.7351
kx2f,microcredito,_75_nro_microcr_dito,50413,0.7509
kx2f,microcredito,_76_monto_microcr_dito,50413,0.7509
kx2f,microcredito_rango,_59_nro_microcr_dito_hasta,23224,0.3418
kx2f,microcredito_rango,_60_monto_microcr_dito_hasta,23224,0.3418
kx2f,microcredito_rango,_61_nro_microcr_dito_1smmlv,41644,0.6129
kx2f,microcredito_rango,_62_monto_microcr_dito_1smmlv,41644,0.6129
kx2f,microcredito_rango,_63_nro_microcr_dito_2smmlv,44064,0.6486
kx2f,microcredito_rango,_64_monto_microcr_dito_2smmlv,44064,0.6486
kx2f,microcredito_rango,_65_nro_microcr_dito_3smmlv,44537,0.6555
kx2f,microcredito_rango,_66_monto_microcr_dito_3smmlv,44537,0.6555
kx2f,microcredito_rango,_67_nro_microcr_dito_4smmlv,48136,0.7085
kx2f,microcredito_rango,_68_monto_microcr_dito_4smmlv,48136,0.7085
kx2f,microcredito_rango,_69_nro_microcr_dito_10smmlv,44486,0.6548
kx2f,microcredito_rango,_70_monto_microcr_dito_10smmlv,44486,0.6548
kx2f,productos_nivel_nacional,_77_nro_productos_a_nivel,11977,0.9784
kx2f,productos_nivel_nacional,_78_monto_saldo_productos,11651,0.9518
kx2f,transacciones_corresponsal_movil,_85_nro_dep_sitos,3942,0.1762
kx2f,transacciones_corresponsal_movil,_86_monto_dep_sitos,3942,0.1762
kx2f,transacciones_corresponsal_movil,_87_nro_giros_enviados,143,0.0064
kx2f,transacciones_corresponsal_movil,_88_monto_giros_enviados,143,0.0064
kx2f,transacciones_corresponsal_movil,_89_nro_giros_recibidos,79,0.0035
kx2f,transacciones_corresponsal_movil,_90_monto_giros_recibidos,79,0.0035
kx2f,transacciones_corresponsal_movil,_91_nro_pagos_corresponsales,4317,0.1929
kx2f,transacciones_corresponsal_movil,_92_monto_pagos_corresponsales,4317,0.1929
kx2f,transacciones_corresponsal_movil,_93_nro_retiros_corresponsales,3642,0.1628
kx2f,transacciones_corresponsal_movil,_94_monto_retiros,3642,0.1628
kx2f,transacciones_corresponsal_movil,_95_nro_transferencias,573,0.0256
kx2f,transacciones_corresponsal_movil,_96_monto_transferencias,573,0.0256
kx2f,transacciones_corresponsal_movil,_97_nro_transacciones_tr,4865,0.2174
kx2f,transacciones_corresponsal_movil,_98_monto_transacciones,4865,0.2174
kx2f,transacciones_corresponsales_fisicos,_10_monto_giros_recibidos,33499,0.0917
kx2f,transacciones_corresponsales_fisicos,_11_nro_pagos_corresponsales,279194,0.7644
kx2f,transacciones_corresponsales_fisicos,_12_monto_pagos_corresponsales,279363,0.7648
kx2f,transacciones_corresponsales_fisicos,_13_nro_retiros_corresponsales,176704,0.4838
kx2f,transacciones_corresponsales_fisicos,_14_monto_retiros,176496,0.4832
kx2f,transacciones_corresponsales_fisicos,_15_nro_transferencias,33495,0.0917
kx2f,transacciones_corresponsales_fisicos,_16_monto_transferencias,33361,0.0913
kx2f,transacciones_corresponsales_fisicos,_17_nro_transacciones_tr,333577,0.9132
kx2f,transacciones_corresponsales_fisicos,_18_monto_transacciones,333579,0.9132
kx2f,transacciones_corresponsales_fisicos,_5_nro_dep_sitos,216151,0.5918
kx2f,transacciones_corresponsales_fisicos,_6_monto_dep_sitos,216124,0.5917
kx2f,transacciones_corresponsales_fisicos,_7_nro_giros_enviados,23122,0.0633
kx2f,transacciones_corresponsales_fisicos,_8_monto_giros_enviados,23122,0.0633
kx2f,transacciones_corresponsales_fisicos,_9_nro_giros_recibidos,33499,0.0917
ptgf,corresponsales_fisicos,corresactivos,172391,0.8205
