fuente,columna,nombre_original
ptgf,tipoentidad,TIPO DE ENTIDAD
ptgf,codigoentidad,CODIGO DE LA  ENTIDAD
ptgf,nombreentidad,NOMBRE DE LA  ENTIDAD
ptgf,fechacorte,FECHA DE CORTE
ptgf,unicap,UNIDAD DE CAPTURA
ptgf,departamento,DEPARTAMENTO
ptgf,renglon,RENGLON
ptgf,municipio,MUNICIPIO
ptgf,tipo,TIPO
ptgf,correspropios,NRO CORRESPONSALES PROPIOS
ptgf,correstercerizados,NRO CORRESPONSALES TERCERIZADOS
ptgf,corresactivos,NRO CORRESPONSALES ACTIVOS
ptgf,nrocorresponsales,NRO CORRESPONSALES
ptgf,nrodepositos,NRO DEPOSITOS
ptgf,montodepositos,MONTO DEPOSITOS
ptgf,nrogirosenv,NRO GIROS ENVIADOS
ptgf,montogiroenv,MONTO GIROS ENVIADOS
ptgf,nrogirosreci,NRO GIROS RECIBIDOS
ptgf,montogirorec,MONTO GIROS RECIBIDOS
ptgf,nropagos,NRO PAGOS
ptgf,montopago,MONTO PAGOS
ptgf,nroretiros,NRO RETIROS
ptgf,montoreti,MONTO RETIROS
ptgf,nrotrnsfer,NRO TRANSFERENCIAS
ptgf,montotransfer,MONTO TRANSFERENCIAS
ptgf,totalnrocorr,NRO TOTAL
ptgf,totalmontocorr,MONTO TOTAL
ptgf,nro1smmlvca,NRO CTA AHORRO HASTA 1 SMMLV
ptgf,saldo1smmlv,SALDO CTA AHORRO HASTA 1 SMMLV
ptgf,nro1y3smmlv,NRO CTA AHORRO > 1 SMMLV HASTA 3 SMMLV
ptgf,saldo1y3smmlv,SALDO CTA AHORRO> 1 SMMLV HASTA 3 SMMLV
ptgf,nro3y5smmlv,NRO CTA AHORRO> 3 SMMLV HASTA 5 SMMLV
ptgf,saldo3y5smmlv,SALDO CTA AHORRO> 3 SMMLV HASTA 5 SMMLV
ptgf,nroactivasca,NRO CTA AHORRO ACTIVAS
ptgf,saldoactivasca,SALDO CTA AHORRO ACTIVAS
ptgf,generonromca,NRO CTA AHORRO MUJERES
