numero,ptgf_column,kx2f_column,nombre_ptgf,nombre_kx2f
1,correspropios,_1_nro_corresponsales_f_sicos,NRO CORRESPONSALES PROPIOS,(1) NRO_CORRESPONSALES_FÍSICOS_PROPIOS
2,correstercerizados,_2_nro_corresponsales_f_sicos,NRO CORRESPONSALES TERCERIZADOS,(2) NRO_CORRESPONSALES_FÍSICOS_TERCERIZADOS
3,corresactivos,_3_nro_corresponsales_f_sicos,NRO CORRESPONSALES ACTIVOS,(3) NRO_CORRESPONSALES_FÍSICOS_ACTIVOS
4,nrocorresponsales,_4_nro_corresponsales_f_sicos,NRO CORRESPONSALES,(4) NRO_CORRESPONSALES_FÍSICOS
5,nrodepositos,_5_nro_dep_sitos,NRO DEPOSITOS,(5) NRO_DEPÓSITOS_CORRESPONSALES_FÍSICOS
6,montodepositos,_6_monto_dep_sitos,MONTO DEPOSITOS,(6) MONTO_DEPÓSITOS_CORRESPONSALES_FÍSICOS
7,nrogirosenv,_7_nro_giros_enviados,NRO GIROS ENVIADOS,(7) NRO_GIROS_ENVIADOS_CORRESPONSALES_FÍSICOS
8,montogiroenv,_8_monto_giros_enviados,MONTO GIROS ENVIADOS,(8) MONTO_GIROS_ENVIADOS_CORRESPONSALES_FÍSICOS
9,nrogirosreci,_9_nro_giros_recibidos,NRO GIROS RECIBIDOS,(9) NRO_GIROS_RECIBIDOS_CORRESPONSALES_FÍSICOS
10,montogirorec,_10_monto_giros_recibidos,MONTO GIROS RECIBIDOS,(10) MONTO_GIROS_RECIBIDOS_CORRESPONSALES_FÍSICOS
11,nropagos,_11_nro_pagos_corresponsales,NRO PAGOS,(11) NRO_PAGOS_CORRESPONSALES_FÍSICOS
12,montopago,_12_monto_pagos_corresponsales,MONTO PAGOS,(12) MONTO_PAGOS_CORRESPONSALES_FÍSICOS
13,nroretiros,_13_nro_retiros_corresponsales,NRO RETIROS,(13) NRO_RETIROS_CORRESPONSALES_FÍSICOS
14,montoreti,_14_monto_retiros,MONTO RETIROS,(14) MONTO_RETIROS_CORRESPONSALES_FÍSICOS
15,nrotrnsfer,_15_nro_transferencias,NRO TRANSFERENCIAS,(15) NRO_TRANSFERENCIAS_CORRESPONSALES_FÍSICOS
16,montotransfer,_16_monto_transferencias,MONTO TRANSFERENCIAS,(16) MONTO_TRANSFERENCIAS_CORRESPONSALES_FÍSICOS
17,totalnrocorr,_17_nro_transacciones_tr,NRO TOTAL,(17) NRO_TRANSACCIONES_TRÁMITES_CORRESPONSALES_FÍSICOS
18,totalmontocorr,_18_monto_transacciones,MONTO TOTAL,(18) MONTO_TRANSACCIONES_CORRESPONSALES_FÍSICOS
19,nro1smmlvca,_19_nro_ctas_ahorro_hasta,NRO CTA AHORRO HASTA 1 SMMLV,(19) NRO_CTAS_AHORRO_HASTA_1SMMLV
20,saldo1smmlv,_20_saldo_ctas_ahorro_hasta,SALDO CTA AHORRO HASTA 1 SMMLV,(20) SALDO_CTAS_AHORRO_HASTA_1SMMLV
21,nro1y3smmlv,_21_nro_ctas_ahorro_1smmlv,NRO CTA AHORRO > 1 SMMLV HASTA 3 SMMLV,(21) NRO_CTAS_AHORRO>1SMMLV_HASTA _3SMMLV
22,saldo1y3smmlv,_22_saldo_ctas_ahorro_1smmlv,SALDO CTA AHORRO> 1 SMMLV HASTA 3 SMMLV,(22) SALDO_CTAS_AHORRO>1SMMLV_HASTA _3SMMLV
23,nro3y5smmlv,_23_nro_ctas_ahorr_3smmlv,NRO CTA AHORRO> 3 SMMLV HASTA 5 SMMLV,(23) NRO_CTAS_AHORR>3SMMLV_HASTA_ 5SMMLV
