fuente,unicap,descrip_uc,dpto_ccdgo
kx2f,1,ANTIOQUIA,05
kx2f,2,ATLANTICO,08
kx2f,3,BOGOTA,11
kx2f,4,BOLIVAR,13
kx2f,5,BOYACA,15
kx2f,6,CALDAS,17
kx2f,7,CAQUETA,18
kx2f,8,CAUCA,19
kx2f,9,CESAR,20
kx2f,10,CORDOBA,23
kx2f,11,CUNDINAMARCA,25
kx2f,12,CHOCO,27
kx2f,13,HUILA,41
kx2f,14,LA GUAJIRA,44
kx2f,15,MAGDALENA,47
kx2f,16,META,50
kx2f,17,NARIÑO,52
kx2f,18,NORTE DE SANTANDER,54
kx2f,19,QUINDIO,63
kx2f,20,RISARALDA,66
kx2f,21,SANTANDER,68
kx2f,22,SUCRE,70
kx2f,23,TOLIMA,73
kx2f,24,VALLE DEL CAUCA,76
kx2f,25,ARAUCA,81
kx2f,26,CASANARE,85
kx2f,27,PUTUMAYO,86
kx2f,28,"SAN ANDRES,PROV Y SANTA CATALINA",88
kx2f,29,AMAZONAS,91
kx2f,30,GUAINIA,94
kx2f,31,GUAVIARE,95
kx2f,32,VAUPES,97
kx2f,33,VICHADA,99
ptgf,1,ANTIOQUIA,05
ptgf,2,ATLANTICO,08
ptgf,3,BOGOTA,11
ptgf,4,BOLIVAR,13
ptgf,5,BOYACA,15
ptgf,6,CALDAS,17
ptgf,7,CAQUETA,18
ptgf,8,CAUCA,19
ptgf,9,CESAR,20
ptgf,10,CORDOBA,23
ptgf,11,CUNDINAMARCA,25
ptgf,12,CHOCO,27
ptgf,13,HUILA,41
ptgf,14,LA GUAJIRA,44
ptgf,15,MAGDALENA,47
ptgf,16,META,50
ptgf,17,NARIÑO,52
ptgf,18,NORTE DE SANTANDER,54
ptgf,19,QUINDIO,63
ptgf,20,RISARALDA,66
ptgf,21,SANTANDER,68
ptgf,22,SUCRE,70
ptgf,23,TOLIMA,73
ptgf,24,VALLE DEL CAUCA,76
ptgf,25,ARAUCA,81
ptgf,26,CASANARE,85
ptgf,27,PUTUMAYO,86
ptgf,28,"SAN ANDRES,PROV Y SANTA CATALINA",88
ptgf,29,AMAZONAS,91
ptgf,30,GUAINIA,94
ptgf,31,GUAVIARE,95
ptgf,32,VAUPES,97
ptgf,33,VICHADA,99
